Best,Mean,Worst
326326.52080933907,326608.03200589377,326933.93465940346
326326.52080933907,326520.3871169178,326818.7162795653
326326.52080933907,326452.1426628209,326690.18661348853
326324.36905897583,326427.23106856825,326678.6160553888
326324.36905897583,326421.0201035425,326671.3440809787
326324.36905897583,326403.2727747669,326671.3440809787
326324.36905897583,326389.2291387449,326671.3440809787
326324.36905897583,326363.00670676323,326671.3440809787
326321.31877310027,326344.7586279939,326464.20249813265
326321.31877310027,326342.69384416565,326464.20249813265
326321.31877310027,326340.68681214517,326464.20249813265
326321.31877310027,326339.79032593925,326464.20249813265
326321.31877310027,326333.1144749509,326464.20249813265
326321.31877310027,326332.7741951514,326464.20249813265
