Best,Mean,Worst
323.4543369681885,339.85939861317314,361.5725147318561
312.6938309569628,328.8930665764661,345.26971679377687
310.9012078163904,319.9493129668463,336.92954676135764
310.9012078163904,317.7425479231668,333.47337128155596
310.9012078163904,316.0297822193314,325.3648052647351
309.8537069593301,315.004838851425,325.3648052647351
309.8537069593301,313.79851670238946,320.29738628055486
309.84015620715076,312.9524127805692,319.11550120680715
309.84015620715076,312.0329789849083,319.11550120680715
309.84015620715076,311.65220826287884,319.11550120680715
309.84015620715076,311.25523388289264,316.01059395870533
