Best,Mean,Worst
14100.887706557185,14454.65095016191,15306.12424269036
14100.887706557185,14333.422232111034,14930.57642816496
14096.19595974105,14188.767844831458,14393.174966410328
14096.19595974105,14150.298955494402,14295.05874310504
14096.19595974105,14121.01945041045,14167.747811622103
14096.19595974105,14101.838916747109,14113.930305957912
14096.19595974105,14482.88404453309,15005.273604769485
14096.19595974105,14343.288355083816,15005.273604769485
14096.19595974105,14209.052927057408,14456.769581248398
14096.19595974105,14161.366941484117,14372.093546282244
14096.19595974105,14120.707064197291,14178.99685651021
14096.19595974105,14525.96011845749,15228.856742597633
14096.19595974105,14282.516539116617,14990.554530652646
14096.19595974105,14183.949494987755,14418.365305793253
14096.19595974105,14164.84400669637,14418.365305793253
14096.19595974105,14127.770062801632,14196.960060275545
