Best,Mean,Worst
89.6737202042188,98.2191266350919,112.4310724649024
88.6968507765339,92.99651750618851,98.02618480062596
88.19191597514933,90.43445385899393,93.39031721152847
86.50034016322395,89.5362160852155,92.7208207899533
86.49386229291886,88.71452693326063,90.8402643555304
86.43459256081107,87.75176917454476,90.81720824122034
86.43459256081107,87.28628560370005,89.82753607987341
86.43459256081107,87.1432511275037,89.82753607987341
86.43459256081107,86.82681595640238,89.82753607987341
86.43459256081107,86.82535549374461,89.82753607987341
86.43459256081107,86.65496947516422,88.194813118627
