Best,Mean,Worst
319.5090886212469,337.7331571205286,362.1860472954646
317.4115405925433,325.2804169038595,348.7453394234859
315.58382794284483,321.27676309020495,332.83978799767294
313.6637645208695,318.4695772369186,321.89034436458996
311.8677946781347,316.5809466370126,321.5974676985869
311.21951018880816,312.92115842479524,316.75560480030776
311.0318084132554,312.32858621897094,315.52669919724167
310.28780163245034,311.5713503881293,315.23057303949645
310.0138216310878,310.6217446466174,311.5350719207462
309.98689785100055,310.22111113670354,311.29435743793243
309.98689785100055,310.1500682726354,311.29435743793243
309.98689785100055,310.0558675704211,311.29435743793243
309.98689785100055,309.98869622103746,310.0080313919274
309.98689785100055,309.9876395439911,310.00173171081417
309.98689785100055,309.98689785100044,309.98689785100055
