Best,Mean,Worst
15.050905595480616,16.087759896585,17.9183658761256
15.050905595480616,15.509560857350536,16.45255079339527
15.011925335522463,15.238562408461982,16.157606250659683
15.010391919938048,15.10230903566539,15.577241290699622
14.973650550890428,15.046854404859062,15.103665430426492
14.957737627995341,15.023868171174055,15.067839580866115
14.957737627995341,15.004740403361296,15.067839580866115
14.957737627995341,14.979155809767292,15.03015722756244
14.957737627995341,14.966928413147908,15.00903951075011
14.957737627995341,15.924070599146356,17.863806732711733
14.957737627995341,15.404353986692538,16.688371876395482
14.957737627995341,15.232490381052438,16.146865042198634
14.957737627995341,15.051967522790127,15.106810573315684
14.957737627995341,15.022498024085095,15.065059556705105
14.957737627995341,16.161140012504006,17.51529901695951
14.957737627995341,15.46138439223881,16.708071296368267
14.957737627995341,15.138719678799538,15.545858907351517
14.957737627995341,15.073750793320368,15.28610931426666
14.957737627995341,15.02493461637425,15.11463371846825
