Best,Mean,Worst,Diversity
78.61972434277195,87.53714792548232,99.60278451647832,1123.6608137914077
78.15070749947907,83.64929182922536,94.54988014982942,725.2884110062148
78.15070749947907,82.59005284198821,93.00519969518359,794.6439573936261
77.3762076866928,79.21884659272222,85.03517990971493,403.57821860626905
77.3762076866928,78.33636000186495,84.11314634800723,271.34108332558776
77.3762076866928,77.51012517652346,77.91615587411127,33.02604150013681
77.3701100539149,77.39531299905705,77.44610370418548,5.043450472092502
77.3701100539149,77.38180380245558,77.39867143340913,2.411734895774174
77.3701100539149,77.37470356128816,77.39867143340913,1.3728658929400552
77.3701100539149,77.3723017506538,77.39867143340913,0.7801379875992467
77.3701100539149,77.3701100539149,77.3701100539149,0.0
