Best,Mean,Worst
109.95264270380821,117.0794393630074,126.76070349160648
106.18863336272074,111.07160465496126,118.54349515977214
106.18863336272074,109.39179886997461,112.92972221107752
105.78134527795832,107.67304280410914,110.89432859505612
105.78134527795832,106.5741234903276,109.00387567626345
105.78134527795832,106.20971996011367,107.73281096551715
105.77142929542244,105.92045168457233,106.24401978858484
105.77142929542244,105.83380498199008,106.146954459417
105.77142929542244,105.7870366865066,105.89873016876388
105.77142929542244,105.7744040901832,105.78134527795832
105.77142929542244,115.77663176762633,126.44724833494587
105.77142929542244,111.72279782702226,120.41998589539169
105.77142929542244,109.69781831419672,113.71414015223849
105.77142929542244,108.57268288231933,113.70908649100029
105.77142929542244,107.04840344513097,109.32360721708051
105.77142929542244,114.17746409192353,124.43630716204513
105.77142929542244,111.81207212485792,117.9423590417969
105.77142929542244,109.1219101139236,112.7847400573114
105.77142929542244,107.65725517905621,112.69207039630466
105.77142929542244,106.9344494679168,109.41407964674349
