Best,Mean,Worst
431.2648728030404,450.52866689846735,465.6171082115814
431.2648728030404,443.12846222989776,453.84011328175956
431.2648728030404,440.01950485712786,450.4904006857505
428.4529844947208,435.62552926400605,443.22949554302033
428.4529844947208,434.5202178814053,443.22949554302033
427.87506982560626,433.19869685230026,438.497587301051
427.87506982560626,432.2823555358215,437.65119262580816
424.8437533061981,431.1725124897663,434.92701275560324
424.8437533061981,430.22118854060665,434.5308743751641
424.8437533061981,429.06684335256676,432.47708534933645
424.8437533061981,428.48903266643947,432.47708534933645
424.8437533061981,447.67464171211816,466.48077815020963
424.8437533061981,438.7816170598668,447.1193791723842
424.8437533061981,434.40274469823646,442.6078900125973
424.8437533061981,432.0486287249631,441.18790150415015
424.8437533061981,430.1026143212806,434.8620425688871
424.8437533061981,449.76163500400907,462.15001304863665
424.8437533061981,442.881289222881,459.0629434266529
424.63712691846223,436.8165383446203,442.68427113546943
424.63712691846223,432.0338769100323,440.63239527611535
424.63712691846223,430.22578325470624,437.8647947314217
424.57405014884637,428.10116286860267,436.3251109034555
424.57405014884637,426.69048133417346,430.92782589961644
424.5280970703628,425.35226562968757,427.48225315073614
424.51009210163977,424.82271897941683,426.2370110329142
424.11886696390684,424.58777186733835,425.10052364974365
424.04859206835795,424.4301493877242,424.80890110312464
424.04859206835795,424.3354266812965,424.80890110312464
424.04859206835795,424.26230339671685,424.51009210163977
424.03687436735447,424.1726837537273,424.51009210163977
424.03687436735447,424.0872680897481,424.34320354420294
424.03687436735447,424.05570613649786,424.34320354420294
424.03687436735447,424.0380461374548,424.04859206835795
