Best,Mean,Worst
431.2648728030404,450.52866689846735,465.6171082115814
431.2648728030404,442.7511279104853,453.84011328175956
429.56814716456313,434.12378706748797,443.67684755275775
428.57646205190065,432.28585024638335,436.37751935699976
428.57646205190065,431.2027073681549,434.76506239629975
428.1135214352946,430.11818810404054,432.54666757802454
425.6841637511467,429.2760369357705,431.3990556615847
425.6841637511467,429.07854767927336,431.3990556615847
425.6841637511467,428.27984750237357,431.3990556615847
425.5972221501371,427.4372321271292,429.56180681369864
425.56685144740027,426.4146146912849,429.56180681369864
425.56685144740027,426.0100877397952,427.2486909144227
425.56685144740027,425.7526324014457,426.57239394508633
425.56685144740027,425.61875864101023,425.67751339402787
425.56685144740027,445.6933191773966,460.4012785269398
425.56685144740027,440.97364243740583,455.87352247985166
425.56685144740027,435.4009239239157,448.10150410360376
425.56685144740027,433.3904754019438,444.77177696716535
425.56685144740027,430.70671949299606,438.7955929744861
425.56685144740027,451.4960665710614,465.05363238623596
425.56685144740027,443.64536336450084,460.81260835287253
425.56685144740027,437.7383889908268,445.84110358908777
425.56685144740027,433.2778924642398,444.26707675087596
425.56685144740027,431.89127507049835,444.26707675087596
