Best,Mean,Worst
114.36422954217002,120.73310976056375,130.59575713767512
112.02390213195837,116.49264629099818,122.49287642177376
112.02390213195837,114.23723167470207,119.28732951771659
111.54643150938743,113.6652636413733,117.56745048218227
111.21770634693475,112.47145482907743,115.04385130669013
111.21770634693475,112.16467593999023,113.98436771942434
109.51953956695743,111.46816684226262,113.82112751758936
109.2702235905938,110.72433944222595,113.06802304567059
109.2702235905938,110.35740092328433,112.95237852985832
109.2702235905938,109.9003963789479,112.13172898933587
109.26780275558878,109.38554832492234,109.55177088794672
109.26780275558878,109.33396938958302,109.54591406590713
109.26780275558878,109.31100100969991,109.51953956695743
109.26780275558878,109.27089318090898,109.2993562792109
109.26780275558878,119.75799531689563,127.21198200607654
109.26780275558878,115.51965672382944,119.43344192231493
109.26780275558878,113.22711225071298,116.57262453977486
109.26780275558878,111.12211692711446,114.89632721638127
109.26780275558878,110.53374813858825,114.89632721638127
109.26780275558878,117.29876867073799,122.11669760828642
109.26780275558878,114.28964444146959,119.86181485689298
109.26780275558878,112.84889665422611,116.46655594287739
109.26780275558878,112.23841354630535,114.66556856174262
109.26780275558878,111.47706118379395,114.55979690042963
