Best,Mean,Worst
15.050905595480616,16.087759896585,17.9183658761256
15.050905595480616,15.37481716874078,16.594309427130245
14.964129022330852,15.132289549565844,16.012645630399152
14.964129022330852,15.051363088882416,15.322895029367704
14.958315422151244,15.025138402676413,15.322895029367704
14.957737627995341,15.011557462267783,15.315228873587849
14.957737627995341,14.991042298195262,15.285167543742691
14.957737627995341,14.982984415767813,15.285167543742691
14.957737627995341,14.965875914080621,15.019773714622424
14.957737627995341,14.964944813118297,15.019773714622424
