Best,Mean,Worst,Diversity
324.5005880352571,338.5095797664321,354.3756430806773,1970.6504301573623
317.9571895567043,326.5416862212825,340.5343046484187,1348.2668250878728
312.7852986348205,320.5836624500299,327.52442375949477,861.0183811865938
312.7852986348205,317.3911869179197,322.8377461064884,553.099976820761
312.72010750516586,316.0172493209322,320.23911067380755,512.1232395070317
312.72010750516586,314.73040142523206,318.1215685309836,430.9070041824021
312.54934220661295,313.45650349546247,317.99791113400465,191.61471406129442
312.4281764073908,312.90698515223517,313.414940169308,65.21886546265512
312.370586168784,312.7431496813499,313.29840065096784,62.84205822776596
312.370586168784,312.673412717643,313.29840065096784,63.11153024824665
312.3309822905104,312.49064044680154,313.29840065096784,35.796155307050356
312.3309822905104,312.4264553388243,312.90674493696434,23.187339540534538
312.3148103429563,312.3768674764175,312.64571354929075,12.054313993036203
312.3148103429563,312.3442181094186,312.50375782555346,6.283567162698887
312.3148103429563,340.5763979238398,363.64096127390343,3269.1569388044086
312.3148103429563,325.30092627307613,342.3921281858633,1606.4138518166894
312.3148103429563,321.7844100660627,342.3921281858633,1287.8577466650431
312.3148103429563,317.06250057630984,326.02164464533274,894.5397852973655
312.3148103429563,313.8500322729937,318.54802991521154,368.4649674759259
312.3148103429563,339.7547237201103,359.9538071038581,2333.0861885672093
312.3148103429563,326.6967475672243,340.6033530471161,2073.792994587245
311.7714387355572,319.1750556272415,335.09711648080827,1337.253791176492
311.16641496971977,314.53710346207765,322.08112693937323,655.4210184915486
311.14821154482604,312.12283640022565,315.8766213562368,223.7883074465061
311.07007106672893,311.40188295608266,313.62841510108603,94.98105078957985
311.07007106672893,311.2232272222203,313.50807035178053,52.573224663749386
311.07007106672893,311.08296252141434,311.17161920424496,4.429909911912205
311.07007106672893,311.0739780906337,311.14821154482604,1.4846690838451195
