Best,Mean,Worst,Diversity
11760.45814676125,12184.751048673663,12868.820821389803,80606.74554483016
11760.45814676125,11929.5397990237,12403.31197153856,40502.7081142264
11760.45814676125,11794.46857906713,12051.403426255687,10737.069577141418
11760.45814676125,11763.431916528232,11771.41947251422,705.412706725363
11760.383984888462,11761.89753265975,11767.196325473396,391.2341175365855
11760.383984888462,11760.977538025525,11764.639643365059,188.18936595826017
11760.383984888462,11760.615308280492,11764.639643365059,85.67803278656174
11760.383984888462,11760.391401075743,11760.45814676125,2.669827420366346
11760.383984888462,11760.383984888465,11760.383984888462,0.0
11760.383984888462,12142.085946830342,12689.344948625534,77497.27133562927
11760.383984888462,11928.575200291834,12327.122149384692,39930.99054222886
11760.383984888462,11809.961178718384,12216.115188918404,16445.798765372005
11760.383984888462,11785.587167288853,12050.159505967547,8606.31959184412
11760.383984888462,11763.263318852714,11779.671550896348,801.1075711836493
11760.383984888462,12030.820533252509,12688.058805048928,55923.07908121862
11760.383984888462,11893.599255748337,12209.721435504303,31848.03579234388
11760.383984888462,11810.095703889234,12056.525310954023,14465.77011488498
11760.383984888462,11773.105356464246,11913.732067439138,4059.784707391793
11760.383984888462,11762.39328529486,11769.500587381335,567.521323447314
